No Data	gender	faed	maed	alg1	alg2	geo	trig	calc	mathgr	grades	mathach	mosaic	visual	visual2	satm	ethnic	religion	ethnic2	item01	item02	item03	item04	item05	item06	item07	item08	item09	item10	item11	item12	item13	item14	mosaic2	mosaic3	item04r	item05r	item08r	item11r	competence	motivation	mathcrs	maedRevis	faedRevis	item06r	item10r	pleasure	parEduc	CubedComp	Jumlah Missing Data	% Missing Data
68	0,0	5,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	5,0	7.5	6,0	6,0	500,0	1,0	2,0	1,0	3,0	4,0	2,0	1,0	1,0	1,0	3,0	1,0	3,0	1,0	1,0	2,0	2,0	4,0	8,0	10,0	4,0	4,0	4,0	4,0	3.25	3,0	0,0	2,0	2,0	4,0	4,0	4,0	5,0	34328125,0	0	0%
69	0,0	9,0	8,0	1,0	1,0	1,0	1,0	1,0	1,0	8,0	23667,0	32,0	7.25	8,0	480,0	1,0	3,0	1,0	4,0	4,0	4,0	3,0	1,0	3,0	3,0	1,0	4,0	1,0	1,0	4,0	2,0	3,0	32,0	30,0	2,0	4,0	4,0	4,0	4,0	3166666667,0	5,0	3,0	3,0	2,0	4,0	3.25	8.5	64,0	0	0%
70	0,0	3,0	3,0	1,0	1,0	0,0	0,0	0,0	0,0	5,0	14667,0	23,0	1,0	1,0	530,0	1,0	1,0	1,0	4,0	4,0	3,0	1,0	1,0	2,0	4,0	1,0	4,0	1,0	1,0	4,0	4,0	3,0	22,0	20,0	4,0	4,0	4,0	4,0	3.75	4,0	2,0	1,0	1,0	3,0	4,0	3.5	3,0	52734375,0	0	0%
71	0,0	7,0	3,0	1,0	1,0	1,0	1,0	0,0	0,0	4,0	18667,0	24.5	11,0	12,0	550,0	1,0	2,0	1,0	3,0	4,0	1,0	2,0	3,0	4,0	4,0	1,0	2,0	1,0	2,0	3,0	1,0	3,0	24,0	20,0	3,0	2,0	4,0	3,0	2,0	3,0	4,0	1,0	2,0	1,0	4,0	3,0	5,0	8,0	0	0%
72	0,0	5,0	4,0	1,0	1,0	1,0	0,0	0,0	0,0	7,0	11667,0	23,0	8.5	9,0	500,0	1,0	3,0	1,0	4,0	4,0	4,0	3,0	1,0	4,0	1,0	3,0	3,0	3,0	1,0	2,0	1,0	2,0	23,0	20,0	2,0	4,0	2,0	4,0	3.75	2,0	3,0	2,0	2,0	1,0	2,0	2.25	4.5	52734375,0	0	0%
73	0,0	3,0	6,0	1,0	0,0	0,0	0,0	0,0	0,0	4,0	14333,0	30.5	8.5	8,0	460,0	1,0	1,0	1,0	2,0	2,0	2,0	2,0	2,0	3,0	3,0	2,0	3,0	3,0	2,0	3,0	3,0	1,0	30,0	25,0	3,0	3,0	3,0	3,0	2.75	2833333333,0	1,0	2,0	1,0	2,0	2,0	1.75	4.5	20796875,0	0	0%
74	0,0	3,0	3,0	1,0	0,0	1,0	0,0	0,0	0,0	5,0	11667,0	13.5	14.75	15,0	470,0	1,0	2,0	1,0	3,0	3,0	2,0	3,0	2,0	3,0	2,0	3,0	3,0	2,0	2,0	3,0	2,0	2,0	13,0	10,0	2,0	3,0	2,0	3,0	2.75	2333333333,0	2,0	1,0	1,0	2,0	3,0	2.5	3,0	20796875,0	0	0%
75	0,0	6,0	3,0	1,0	1,0	1,0	1,0	0,0	1,0	7,0	14333,0	30,0	14.75	14,0	520,0	1,0	3,0	1,0	3,0	3,0	3,0	1,0	1,0	3,0	3,0	1,0	4,0	2,0	1,0	3,0	3,0	2,0	20,0	25,0	4,0	4,0	4,0	4,0	3.75	3333333333,0	4,0	1,0	2,0	2,0	3,0	2.5	4.5	52734375,0	0	0%
Jumlah Missing Data	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	3	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	2	0	0	0	0	2	0	
% Missing Data	0%	3%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	3%	12%	4%	1%	0%	1%	1%	0%	0%	0%	0%	1%	0%	0%	0%	0%	0%	0%	0%	1%	0%	0%	0%	9%	3%	0%	0%	3%	0%	0%	0%	0%	3%		
